item_id,order_id,product_id,category,quantity,price,discount
10001,1001,548,Home,1,141.52,10
10002,1001,472,Clothing,1,49.02,0
10003,1002,668,Books,1,16.71,0
10004,1002,514,Clothing,3,78.77,5
10005,1003,550,Home,3,205.33,0
10006,1004,281,Electronics,3,326.1,0
10007,1005,453,Clothing,1,61.65,0
10008,1006,359,Clothing,2,77.01,20
10009,1007,238,Electronics,1,185.37,0
10010,1007,600,Home,1,233.82,25
10011,1008,285,Electronics,3,128.23,0
10012,1009,301,Electronics,1,80.08,25
10013,1010,498,Clothing,1,110.89,0
10014,1010,632,Books,3,6.85,0
10015,1011,336,Electronics,1,388.14,30
10016,1011,216,Electronics,1,321.04,15
10017,1011,448,Clothing,1,123.03,20
10018,1012,375,Clothing,1,110.57,0
10019,1012,641,Books,1,39.23,0
10020,1013,431,Clothing,1,50.63,25
10021,1014,617,Home,1,179.64,10
10022,1014,456,Clothing,3,75.35,0
10023,1014,455,Clothing,1,142.33,0
10024,1014,695,Toys,1,50.0,15
10025,1015,441,Clothing,1,11.14,10
10026,1015,652,Books,1,21.46,0
10027,1015,224,Electronics,1,293.74,25
10028,1016,623,Home,1,48.86,0
10029,1016,402,Clothing,3,88.1,10
10030,1017,224,Electronics,2,405.9,0
10031,1017,277,Electronics,1,267.44,25
10032,1018,373,Clothing,1,78.58,0
10033,1019,257,Electronics,1,402.44,0
10034,1019,553,Home,1,90.68,0
10035,1020,446,Clothing,1,96.76,0
10036,1021,686,Toys,1,39.75,0
10037,1022,514,Clothing,2,113.02,10
10038,1022,466,Clothing,1,102.71,0
10039,1023,547,Home,2,198.34,0
10040,1023,513,Clothing,3,49.06,15
10041,1024,487,Clothing,2,48.28,30
10042,1024,479,Clothing,3,124.57,0
10043,1025,241,Electronics,1,143.09,0
10044,1025,304,Electronics,1,289.77,5
10045,1025,516,Clothing,1,17.11,0
10046,1025,316,Electronics,1,218.38,0
10047,1025,252,Electronics,1,482.97,0
10048,1026,444,Clothing,1,144.95,30
10049,1026,231,Electronics,1,295.58,0
